kind	body	path	url	status	bytes
license	Uranus	images/Uranus/LICENSE-rings	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Uranus/LICENSE-rings	206	231
diffuse-map	Uranus	images/Uranus/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Uranus/diffuse.png	206	274222
ring-texture	Uranus	images/Uranus/rings.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Uranus/rings.png	206	7103
license	Venus	images/Venus/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Venus/LICENSE-diffuse	206	134
diffuse-map	Venus	images/Venus/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Venus/diffuse.png	206	2579442
license	Vesta	images/Vesta/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Vesta/LICENSE-diffuse	206	113
license	Vesta	images/Vesta/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Vesta/LICENSE-normal	206	247
diffuse-map	Vesta	images/Vesta/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Vesta/diffuse.png	206	20532704
normal-map	Vesta	images/Vesta/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Vesta/normal.png	206	25693652
model-source	Cassini	models/Cassini/Cassini_66.blend	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/Cassini_66.blend	206	3572784
license	Cassini	models/Cassini/LICENSE	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/LICENSE	206	208
texture	Cassini	models/Cassini/texture/dish_AO.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/texture/dish_AO.png	206	446279
texture	Cassini	models/Cassini/texture/foil_gold_ramp.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/texture/foil_gold_ramp.png	206	3627
texture	Cassini	models/Cassini/texture/foil_n.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/texture/foil_n.png	206	309641
texture	Cassini	models/Cassini/texture/foil_n_2.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/models/Cassini/texture/foil_n_2.png	206	673460
