hostname,pl_name,sy_dist,ra,dec,st_mass,st_rad,st_teff,pl_orbsmax,pl_orbper,pl_orbeccen,pl_orbincl,pl_orblper,pl_bmasse,pl_rade
"OGLE-2019-BLG-0362L","OGLE-2019-BLG-0362L b",5830.00000000,263.4652500,-24.8103611,0.420000,,,2.1800000000,,,,,1036.12060682,13.10000000
"KMT-2017-BLG-1057L","KMT-2017-BLG-1057L b",6500.00000000,265.4860000,-22.3351111,0.570000,,,2.3600000000,,,,,23.50000000,5.19000000
"KMT-2025-BLG-1616L","KMT-2025-BLG-1616L b",7500.00000000,267.7788750,-30.1391111,0.260000,,,1.6000000000,,,,,42.32000000,7.34000000
"Wolf 327","Wolf 327 b",28.53210000,148.3783199,35.5705480,0.405000,0.406000,3542.00,0.0100000000,0.57347450000,0.000000,84.89000,,2.53000000,1.24000000
"Kepler-62","Kepler-62 f",300.87400000,283.2125621,45.3496992,0.690000,0.640000,4925.00,0.7180000000,267.29100000000,0.000000,89.90000,,35.00000000,1.41000000
"WASP-53","WASP-53 c",201.33800000,31.9091639,-20.6618430,0.839000,0.798000,4953.00,3.7300000000,2840.00000000000,0.836900,,198.6000,5196.52050000,
"KMT-2023-BLG-1743L","KMT-2023-BLG-1743L b",7130.00000000,269.1652500,-28.8549194,0.110000,,,1.1600000000,,,,,6356.56814000,12.10000000
"TOI-5789","TOI-5789 c",20.45810000,302.7734475,16.1897138,0.821000,0.833000,5185.00,0.1009000000,12.92774800000,0.067000,88.02000,,5.00000000,2.86000000
"MOA-2019-BLG-008L","MOA-2019-BLG-008L b",2700.00000000,267.9828750,-29.9897306,0.900000,,,,,,,,5720.91132600,12.20000000
"OGLE-2016-BLG-1598L","OGLE-2016-BLG-1598L b",5910.00000000,270.1907500,-29.1754389,0.550000,,,2.5000000000,,,,,120.77479466,13.60000000
"OGLE-2017-BLG-1275L","OGLE-2017-BLG-1275L b",7690.00000000,267.9154167,-29.4979694,0.630000,,,2.0900000000,,,,,1875.18760130,12.80000000
